t_day,thp_mon_italy_jan,thp_tue_italy_jan,thp_wed_italy_jan,thp_thu_italy_jan,thp_fri_italy_jan,thp_sat_italy_jan,thp_sun_italy_jan,thp_mon_italy_mar,thp_tue_italy_mar,thp_wed_italy_mar,thp_thu_italy_mar,thp_fri_italy_mar,thp_sat_italy_mar,thp_sun_italy_mar,thp_mon_seoul_jan,thp_tue_seoul_jan,thp_wed_seoul_jan,thp_thu_seoul_jan,thp_fri_seoul_jan,thp_sat_seoul_jan,thp_sun_seoul_jan,thp_mon_seoul_mar,thp_tue_seoul_mar,thp_wed_seoul_mar,thp_thu_seoul_mar,thp_fri_seoul_mar,thp_sat_seoul_mar,thp_sun_seoul_mar,thp_mon_feldmann_isp_ce_mar,thp_tue_feldmann_isp_ce_mar,thp_wed_feldmann_isp_ce_mar,thp_thu_feldmann_isp_ce_mar,thp_fri_feldmann_isp_ce_mar,thp_sat_feldmann_isp_ce_mar,thp_sun_feldmann_isp_ce_mar,thp_mon_feldmann_isp_ce_apr,thp_tue_feldmann_isp_ce_apr,thp_wed_feldmann_isp_ce_apr,thp_thu_feldmann_isp_ce_apr,thp_fri_feldmann_isp_ce_apr,thp_sat_feldmann_isp_ce_apr,thp_sun_feldmann_isp_ce_apr,thp_mon_feldmann_isp_ce_jun,thp_tue_feldmann_isp_ce_jun,thp_wed_feldmann_isp_ce_jun,thp_thu_feldmann_isp_ce_jun,thp_fri_feldmann_isp_ce_jun,thp_sat_feldmann_isp_ce_jun,thp_sun_feldmann_isp_ce_jun,thp_wknd_feldmann_isp_ce_feb22,thp_wkdy_feldmann_isp_ce_mar25,thp_wkdy_moreira_pre_lock_feb19,thp_wkdy_moreira_pre_lock_may19,thp_wkdy_moreira_pre_lock_jul19,thp_wkdy_moreira_pre_lock_oct19,thp_wknd_moreira_pre_lock_feb19,thp_wknd_moreira_pre_lock_may19,thp_wknd_moreira_pre_lock_jul19,thp_wknd_moreira_pre_lock_oct19,thp_wkdy_moreira_lock_mar20,thp_wkdy_moreira_lock_apr20,thp_wkdy_moreira_lock_may20,thp_wkdy_moreira_lock_jun20,thp_wknd_moreira_lock_mar20,thp_wknd_moreira_lock_apr20,thp_wknd_moreira_lock_may20,thp_wknd_moreira_lock_jun20
0.0,0.6076827657786357,0.6327496166574926,0.6853999300308179,0.7223994353889398,0.8944788970707005,0.8425632080386378,0.7126729432318192,0.6056977839643896,0.4748777760482447,0.3611129131007141,0.3427130670229112,0.6060756283699364,0.8171282050842243,0.5221798818781873,0.6344124318557478,0.634084589796941,0.5955055002552174,0.7694993290617179,0.891515780474028,0.8181541341004672,0.8476982476279427,0.720561862128011,0.7753562940829472,0.6991220191874578,0.7875794772523245,0.7534118084480929,0.8045703278524872,0.7809992077695492,0.4930564527926232,0.4701580894904068,0.5685031275118627,0.5538168521668284,0.5419873472980825,0.5487833354822419,0.7226657666019854,0.5689229592985129,0.4795179356190756,0.3896410072314878,0.746063049465053,0.789126929772468,0.6775785051996869,0.5783398653043187,0.5015675944065284,0.4432058789108302,0.37677893782205296,0.6553088395778236,0.6804777759535581,0.7904718378060548,0.6396593619115448,0.5901898734177216,0.5158227848101267,146.30185495840772,111.98391937843436,133.23709369313153,116.9537760434765,60.83693533385867,43.98455385705998,49.396695372316344,46.59049954859214,133.4720113865095,146.0124367164838,132.00916964495678,142.8065648468175,68.22602998912818,58.61996664129218,74.6229625632899,53.19253892901671
0.006944444444444444,0.5858373621491411,0.6026734486565384,0.6478868685904732,0.7000537138981019,0.8778433277440322,0.8149432573122891,0.6922403154365327,0.5683226603257608,0.4488290000667564,0.3395983298254349,0.3245237513349451,0.5885374287191903,0.7864660714987314,0.5092863519029919,0.6145711344106776,0.6078060011544352,0.5761903502910746,0.7532850870173899,0.8722545233059724,0.7935869226039224,0.8226117274009632,0.6905567640809632,0.7489131155478426,0.6752050127458642,0.7586773445622399,0.7178516133405349,0.7809061565378984,0.7469764516947652,0.4701816843533768,0.4493695027077416,0.5426081740071909,0.5430784296895868,0.5143508007385673,0.5234676089871956,0.6958114357192761,0.5426552015633833,0.4443357114565624,0.3773807840862944,0.7168196766963697,0.7592974561473574,0.6530276928461001,0.5507795452733877,0.4486093693751886,0.3995405699512798,0.3717538430285137,0.6369239910136776,0.6677953722312501,0.7471203543927495,0.5923119864995565,0.5598628691983123,0.4891877637130802,139.27800328095316,111.26674001460397,129.42906688752072,115.42012745568778,58.83567040863233,43.4521955637379,48.78463168727949,45.47687588359542,130.55645081244515,142.14956815076664,128.73246552817233,138.5376045935585,66.59913295819646,56.71695865030598,71.88463318053742,51.68929123454172
0.013888888888888888,0.5650396355107633,0.5758582607731946,0.6132512103368903,0.6755621548583126,0.8612077584173636,0.7851124446538542,0.6718076876412452,0.5352165756148141,0.4248398808525127,0.3205807254441951,0.3076009925935512,0.5707922145977069,0.7542555586761389,0.4970902222277512,0.5944650932688492,0.5815274125119265,0.555244000087127,0.7532850870173899,0.8510995508098835,0.7701724706197254,0.7896427779797183,0.6637178928427337,0.7219814006512745,0.650042578690728,0.724584088224336,0.6822914182329771,0.7568022160612607,0.7159272446049101,0.4473069159141335,0.4285809159250736,0.5167132205025156,0.532340007212345,0.489348609264436,0.4981518824921475,0.6502384640019064,0.4980651299643178,0.4093187820692425,0.3441606495038261,0.6875763039276864,0.715411023456746,0.6284768804925117,0.5232192252424549,0.44712423788231387,0.3945792959646772,0.33798328269629,0.6185391424495317,0.5998777595940249,0.7045252900222084,0.5525058518599054,0.5295358649789029,0.4625527426160338,132.25415160349863,110.54956065077357,125.62104008190991,113.88647886789907,56.834405483406,42.919837270415826,48.17256800224264,44.363252218598696,127.6408902383808,138.28669958504952,125.45576141138785,134.26864434029952,64.97223592726473,54.81395065931979,69.14051817180851,50.18604354006673
0.020833333333333332,0.5479127610622373,0.545251324452531,0.5671048639966061,0.6514908609196461,0.8445721890906953,0.7621104448770659,0.6506795431779465,0.5066363294289974,0.4010782911266935,0.30302146696644017,0.29067823385215524,0.5506688295797643,0.7227193719765298,0.4799471263806056,0.5741354339522091,0.5571135148985289,0.5324304215226892,0.7277333981477853,0.8269041168599341,0.7501935524592069,0.7594825540599024,0.638460093675161,0.6935293860126123,0.6233147398951007,0.6887364237046001,0.6822914182329771,0.7311515375258023,0.682927896729177,0.4244321474748871,0.40779232914240576,0.4908182669978404,0.5216015847351032,0.4776569924809946,0.4728361559971012,0.6223630037948811,0.4801571461268786,0.3923594517114878,0.3311278901702369,0.6583329311590033,0.6937766422134195,0.6039260681389248,0.495658905211524,0.3986921032083853,0.35976289145336626,0.3200198911839989,0.6001542938853857,0.5997750672211497,0.6619917749832337,0.5419360493206534,0.4992088607594938,0.4359177215189873,125.23029992604407,109.83238128694316,121.74405029052629,112.35283028011037,54.86494836558244,42.38747897709374,47.5605043172058,43.24962855360197,124.72532966431646,134.43789094412256,122.1790572946034,129.91372909408523,63.324826968103345,52.87972474554501,66.3754168403266,48.71153033343189
0.027777777777777776,0.5290473019395953,0.51267205677934,0.5238523675541843,0.6279012503391774,0.7682770204583714,0.7391684810362478,0.6295313157877456,0.4776071700700684,0.3832708406462911,0.2884213897505747,0.2759663995370806,0.5287605770843323,0.690951506848615,0.4564831402655197,0.5536568912611076,0.533955603147555,0.5086488751555173,0.7021817092781804,0.800333211568103,0.7307897783880648,0.7268304317248895,0.6153631367524114,0.6643500966416443,0.5942031478972283,0.6531232153214939,0.6613627318850552,0.7047066542495755,0.6584517523427229,0.4015573790356408,0.3870037423597377,0.4649233134931652,0.5108631622578617,0.4659653756975533,0.4475204295020532,0.5926130329866384,0.4453918841255749,0.3723378891176678,0.30237253058527314,0.62908955839032,0.6270656472567376,0.5793752557853364,0.4680985851805913,0.3872217579765973,0.3307401687131178,0.3019177786417933,0.5817694453212396,0.5713507805675928,0.6532556290609108,0.5053086206010002,0.4688818565400845,0.40928270042194104,118.20644824858951,108.9872492383282,117.79093366072414,110.96421309634967,53.25656565273293,41.69016922996173,46.90858426397292,42.32044032464434,121.84092239076831,130.6056880282474,118.8766177980469,125.52237852271188,61.63715123020171,50.94263480266331,63.57346252259791,47.51986519185956
0.034722222222222224,0.5025915555028648,0.4815251755806149,0.4902376685661218,0.6081049773677796,0.7291563937229371,0.7130119639854727,0.6052649062569222,0.4491627530112303,0.3654633901658888,0.2781447232333403,0.2655420826110619,0.5064568188478701,0.6663284963915742,0.433642478233284,0.5328388700728977,0.5112960883806469,0.4856405136712825,0.6766300204085756,0.7721676066430305,0.7112409055779454,0.6959773062613104,0.5951684952484388,0.636724753671713,0.5650915558993523,0.619162139935708,0.6404340455371337,0.6743256659071349,0.6347170418497485,0.3786826105963944,0.36621515557707,0.4390283599884899,0.5001247397806199,0.4542737589141119,0.4222047030070051,0.5616972611755646,0.42799373682403663,0.3454455219384149,0.28584441463514804,0.5998461856216367,0.5996520204753659,0.5548244434317481,0.4405382651496604,0.351025209977992,0.3152678673090269,0.2835671246129973,0.5633845967570935,0.5288572446795511,0.5983708649015863,0.4941661330167279,0.4385548523206752,0.3826476793248946,112.58562167521958,107.41048474536827,113.83605452738162,109.58308974171946,51.64818293988343,40.878818034894756,46.24019428504691,41.417411120085575,119.01333431903686,126.72674310452918,115.568848348978,121.17139961968789,60.050107903970655,49.0237461966218,60.763655055062664,46.292564779723136
0.041666666666666664,0.472910157888359,0.4519748920938038,0.4568329785912914,0.5897485179295091,0.6970019747720307,0.6852307810212043,0.5795650696913152,0.4246658427856471,0.3489061758699775,0.2678680567161058,0.2551177656850432,0.4849007817069886,0.6300837178633089,0.4110287781496259,0.5119049885623939,0.4890336381728875,0.4626793258271164,0.6510783315389708,0.7426959514790705,0.6915596343211112,0.6688220340931086,0.5731234602286958,0.6077882452977558,0.5366870088888033,0.5823813923011271,0.6195053591892119,0.6434628431844555,0.611056697709467,0.35580784215715106,0.3454265687944047,0.4131334064838181,0.4893863173033782,0.4425821421306706,0.39736129149188587,0.5316034333445101,0.39338129827422336,0.3223948202936165,0.26931629868502505,0.5706028128529534,0.5827059617548547,0.5302736310781613,0.4129779451187277,0.3185719326475387,0.29605434338634234,0.2659169621568403,0.5449997481929475,0.5047159895438502,0.5318790110920943,0.4543921328341573,0.4082278481012659,0.35601265822784817,109.46289230915313,103.60448444118478,109.73649152445165,107.51616597614952,50.03980022703392,40.06746683982779,45.17578410283923,40.57601418226578,116.92905168033292,122.83724263351534,112.1170123105909,117.12147428421241,58.51840647692183,47.23270101488354,58.11359973181684,44.62619279498602
0.04861111111111111,0.4452508430229901,0.4239700218251963,0.4243950959547885,0.5639832859803527,0.6652956381947612,0.6506670060681572,0.5488182914295108,0.4007434128377528,0.33615039907565164,0.2575913901988727,0.2446934487590258,0.4659348270096859,0.5957472292156314,0.3887785647210589,0.4906814427727396,0.4668492060586723,0.43971813798295145,0.6269530502802964,0.7127743919037315,0.6713184189723503,0.6441444325660131,0.5502641915478668,0.5822264290890803,0.5114683270266643,0.5570600573090965,0.5985766728412901,0.6137395318862524,0.5879291325514876,0.33293307371790465,0.3246379820117368,0.3872384529791429,0.4786478948261365,0.4308905253472288,0.3995065583374549,0.5017432903879788,0.3757281098525566,0.3046587713479541,0.25278818273489995,0.5420149444233452,0.5357743813434586,0.5057228187245729,0.3854176250877949,0.30977090669209123,0.2781922275687368,0.2487295957260444,0.5108916844760589,0.4695931622708472,0.5450671880962651,0.4507478012722403,0.3876582278481014,0.3391350210970465,106.34016294308668,99.7984841370013,105.47863498573511,105.34403677816647,48.45940436119499,39.111763415468815,43.613822864161904,39.92024735923997,114.844769041629,119.00503971764019,108.62409071455365,113.38145136997966,56.98670504987301,45.50027892442652,55.71531440062286,43.00109621618351
0.05555555555555555,0.4194223411409497,0.393784961664012,0.3975875412380159,0.5348553444176172,0.6312241488792764,0.6151165153753361,0.5219558406095134,0.37910287464204506,0.32339462228132737,0.24731472368163826,0.2342691318330071,0.4452441787519757,0.5657777048829686,0.3678669009236407,0.4694578969830873,0.44478832801595497,0.41814638128667203,0.6035184777520486,0.6837089781559004,0.6502518173458276,0.6219458409245239,0.5285455956294374,0.5585460725127966,0.4891442701410381,0.5349381595376609,0.5778159907380741,0.5849451094635457,0.5653130961382904,0.31005830527865835,0.30384939522906884,0.3613434994744677,0.4679094723488948,0.4191989085637875,0.40165182518302384,0.4748889595052703,0.3549509656232987,0.2878169312514441,0.2418203892266756,0.5221686585312867,0.5281888257644511,0.4811720063709861,0.35785730505686403,0.2803134791720793,0.2607874914843479,0.23543797261191945,0.4750763213781957,0.4343438163828986,0.503301995221096,0.4135066097027465,0.3670886075949368,0.3222573839662448,103.21743357702023,95.99248383281781,101.22077844701856,103.1719075801834,47.650253860896555,37.32607648770239,41.80182839899249,39.21718171895122,112.83820206780732,115.15962653970247,104.89675488619376,109.73001906739051,55.47943000373132,43.7954871300379,53.37014058081833,41.447326323234
0.0625,0.39435072776090585,0.3715872566418431,0.37285082615712456,0.506698140436192,0.5963881340893323,0.5829360318183494,0.4964166225657064,0.3574623364463386,0.3106388454870015,0.23703805716440385,0.2238448149069884,0.4202684242967924,0.5366558714668458,0.3487089179107273,0.4482343511934316,0.42311004339870495,0.3976462690115218,0.578922353520004,0.6563505254030033,0.626271952288407,0.6001936112789201,0.5068269997110062,0.5373299032250504,0.4708278950269774,0.5196333544765219,0.5572897335145182,0.5570605228138881,0.5430207381567687,0.28718353683941195,0.28306080844640097,0.3354485459697925,0.45717104987165297,0.40750729178034617,0.4037970920285929,0.4489674684618485,0.336689191655752,0.2718865752826056,0.2311369483907482,0.5023223726392281,0.4907087997363812,0.4654294634742247,0.3302969850259313,0.2790803409757777,0.2471057865444101,0.22283644494680596,0.4612528313844661,0.3988294876177399,0.4800730409242662,0.3887376061909493,0.3465189873417723,0.3053797468354431,100.09470421095378,92.18648352863431,96.97862922894086,100.99977838220033,46.841103360598126,35.45318558992328,39.814247002864455,38.429140270260376,111.0926299233421,111.29166266725689,101.1511248324381,106.11208656147112,53.97738728657381,42.09791757007358,51.053573229474274,39.86484954119273
